357545.697,"[-56, -68, -65, -62]","[[30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.467986, 23.54725921], [30.46184773, 114.467986, 23.54725921]]","['B164', 'B165', 'B069', 'B070']"
357545.897,"[-62, -61, -59, -66]","[[30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46167077, 114.467986, 23.54725921]]","['B165', 'B164', 'B070', 'B069']"
357546.092,"[-55, -53, -70, -65]","[[30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46167077, 114.467986, 23.54725921]]","['B165', 'B164', 'B070', 'B069']"
357546.292,"[-49, -68, -67, -66]","[[30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46202469, 114.4677565, 23.54725921]]","['B165', 'B164', 'B070', 'B166']"
357546.492,"[-49, -64, -67, -64]","[[30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46202469, 114.4677565, 23.54725921]]","['B165', 'B164', 'B070', 'B166']"
357546.692,"[-50, -64, -68, -68]","[[30.46184773, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921]]","['B165', 'B164', 'B166', 'B070']"
357546.892,"[-49, -61, -54, -66]","[[30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46167077, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921]]","['B165', 'B166', 'B164', 'B070']"
357547.087,"[-52, -61, -65, -62]","[[30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46167077, 114.4677565, 23.54725921]]","['B165', 'B166', 'B070', 'B164']"
357547.287,"[-61, -62, -64, -71]","[[30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46167077, 114.4677565, 23.54725921]]","['B165', 'B166', 'B070', 'B164']"
357547.487,"[-53, -67, -70, -60]","[[30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46202469, 114.467986, 23.54725921]]","['B165', 'B166', 'B070', 'B071']"
357547.687,"[-61, -58, -68, -62]","[[30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.467986, 23.54725921], [30.46202469, 114.467986, 23.54725921]]","['B165', 'B166', 'B070', 'B071']"
357547.887,"[-60, -64, -59, -67]","[[30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46184773, 114.467986, 23.54725921]]","['B166', 'B165', 'B071', 'B070']"
357548.082,"[-56, -63, -64, -69]","[[30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46184773, 114.467986, 23.54725921]]","['B166', 'B165', 'B071', 'B070']"
357548.282,"[-57, -64, -63, -65]","[[30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.4677565, 23.54725921]]","['B166', 'B165', 'B071', 'B167']"
357548.482,"[-53, -62, -65, -61]","[[30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.4677565, 23.54725921]]","['B166', 'B165', 'B071', 'B167']"
357548.682,"[-49, -69, -64, -63]","[[30.46202469, 114.4677565, 23.54725921], [30.46184773, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.4677565, 23.54725921]]","['B166', 'B165', 'B071', 'B167']"
357548.882,"[-47, -66, -67, -65]","[[30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46184773, 114.4677565, 23.54725921]]","['B166', 'B167', 'B071', 'B165']"
357549.077,"[-55, -60, -62, -63]","[[30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46184773, 114.4677565, 23.54725921]]","['B166', 'B167', 'B071', 'B165']"
357549.277,"[-58, -64, -66, -69]","[[30.46202469, 114.4677565, 23.54725921], [30.46220165, 114.4677565, 23.54725921], [30.46202469, 114.467986, 23.54725921], [30.46220165, 114.467986, 23.54725921]]","['B166', 'B167', 'B071', 'B072']"
